STATISTIC,Statistic Label,TLIST(A1),Year,C01885V02316,Month of Year,UNIT,VALUE
ROA17C2,Injury Collisions,2017,2017,5,May,Number,522
ROA17C2,Injury Collisions,2017,2017,6,June,Number,483
ROA17C2,Injury Collisions,2017,2017,7,July,Number,482
ROA17C2,Injury Collisions,2017,2017,8,August,Number,475
ROA17C2,Injury Collisions,2017,2017,9,September,Number,546
ROA17C2,Injury Collisions,2017,2017,10,October,Number,508
ROA17C2,Injury Collisions,2017,2017,11,November,Number,597
ROA17C2,Injury Collisions,2017,2017,12,December,Number,546
ROA17C2,Injury Collisions,2018,2018,-,All months,Number,5974
ROA17C2,Injury Collisions,2018,2018,1,January,Number,461
ROA17C2,Injury Collisions,2018,2018,2,February,Number,436
ROA17C2,Injury Collisions,2018,2018,3,March,Number,428
ROA17C2,Injury Collisions,2018,2018,4,April,Number,446
ROA17C2,Injury Collisions,2018,2018,5,May,Number,533
ROA17C2,Injury Collisions,2018,2018,6,June,Number,521
ROA17C2,Injury Collisions,2018,2018,7,July,Number,540
ROA17C2,Injury Collisions,2018,2018,8,August,Number,474
ROA17C2,Injury Collisions,2018,2018,9,September,Number,508
ROA17C2,Injury Collisions,2018,2018,10,October,Number,544
ROA17C2,Injury Collisions,2018,2018,11,November,Number,549
ROA17C2,Injury Collisions,2018,2018,12,December,Number,534
ROA17C2,Injury Collisions,2019,2019,-,All months,Number,5698
ROA17C2,Injury Collisions,2019,2019,1,January,Number,493
ROA17C2,Injury Collisions,2019,2019,2,February,Number,385
ROA17C2,Injury Collisions,2019,2019,3,March,Number,483
ROA17C2,Injury Collisions,2019,2019,4,April,Number,391
ROA17C2,Injury Collisions,2019,2019,5,May,Number,468
ROA17C2,Injury Collisions,2019,2019,6,June,Number,466
ROA17C2,Injury Collisions,2019,2019,7,July,Number,504
ROA17C2,Injury Collisions,2019,2019,8,August,Number,479
ROA17C2,Injury Collisions,2019,2019,9,September,Number,534
ROA17C2,Injury Collisions,2019,2019,10,October,Number,509
ROA17C2,Injury Collisions,2019,2019,11,November,Number,535
ROA17C2,Injury Collisions,2019,2019,12,December,Number,451
ROA17C2,Injury Collisions,2020,2020,-,All months,Number,4293
ROA17C2,Injury Collisions,2020,2020,1,January,Number,492
ROA17C2,Injury Collisions,2020,2020,2,February,Number,433
ROA17C2,Injury Collisions,2020,2020,3,March,Number,261
ROA17C2,Injury Collisions,2020,2020,4,April,Number,132
ROA17C2,Injury Collisions,2020,2020,5,May,Number,227
ROA17C2,Injury Collisions,2020,2020,6,June,Number,288
ROA17C2,Injury Collisions,2020,2020,7,July,Number,394
ROA17C2,Injury Collisions,2020,2020,8,August,Number,404
ROA17C2,Injury Collisions,2020,2020,9,September,Number,413
ROA17C2,Injury Collisions,2020,2020,10,October,Number,382
ROA17C2,Injury Collisions,2020,2020,11,November,Number,383
ROA17C2,Injury Collisions,2020,2020,12,December,Number,484
ROA17C2,Injury Collisions,2021,2021,-,All months,Number,4789
ROA17C2,Injury Collisions,2021,2021,1,January,Number,222
ROA17C2,Injury Collisions,2021,2021,2,February,Number,240
ROA17C2,Injury Collisions,2021,2021,3,March,Number,292
ROA17C2,Injury Collisions,2021,2021,4,April,Number,345
ROA17C2,Injury Collisions,2021,2021,5,May,Number,407
ROA17C2,Injury Collisions,2021,2021,6,June,Number,443
ROA17C2,Injury Collisions,2021,2021,7,July,Number,474
ROA17C2,Injury Collisions,2021,2021,8,August,Number,426
ROA17C2,Injury Collisions,2021,2021,9,September,Number,507
ROA17C2,Injury Collisions,2021,2021,10,October,Number,504
ROA17C2,Injury Collisions,2021,2021,11,November,Number,447
ROA17C2,Injury Collisions,2021,2021,12,December,Number,482
ROA17C2,Injury Collisions,2022,2022,-,All months,Number,5568
ROA17C2,Injury Collisions,2022,2022,1,January,Number,387
ROA17C2,Injury Collisions,2022,2022,2,February,Number,409
ROA17C2,Injury Collisions,2022,2022,3,March,Number,469
ROA17C2,Injury Collisions,2022,2022,4,April,Number,429
ROA17C2,Injury Collisions,2022,2022,5,May,Number,491
ROA17C2,Injury Collisions,2022,2022,6,June,Number,459
ROA17C2,Injury Collisions,2022,2022,7,July,Number,461
ROA17C2,Injury Collisions,2022,2022,8,August,Number,501
ROA17C2,Injury Collisions,2022,2022,9,September,Number,497
ROA17C2,Injury Collisions,2022,2022,10,October,Number,512
ROA17C2,Injury Collisions,2022,2022,11,November,Number,536
ROA17C2,Injury Collisions,2022,2022,12,December,Number,417
ROA17C2,Injury Collisions,2023,2023,-,All months,Number,5358
ROA17C2,Injury Collisions,2023,2023,1,January,Number,419
ROA17C2,Injury Collisions,2023,2023,2,February,Number,374
ROA17C2,Injury Collisions,2023,2023,3,March,Number,443
ROA17C2,Injury Collisions,2023,2023,4,April,Number,406
ROA17C2,Injury Collisions,2023,2023,5,May,Number,498
ROA17C2,Injury Collisions,2023,2023,6,June,Number,468
ROA17C2,Injury Collisions,2023,2023,7,July,Number,457
ROA17C2,Injury Collisions,2023,2023,8,August,Number,446
ROA17C2,Injury Collisions,2023,2023,9,September,Number,470
ROA17C2,Injury Collisions,2023,2023,10,October,Number,460
ROA17C2,Injury Collisions,2023,2023,11,November,Number,467
ROA17C2,Injury Collisions,2023,2023,12,December,Number,450
ROA17C3,All Fatal and Injury Collisions,2005,2005,-,All months,Number,6533
ROA17C3,All Fatal and Injury Collisions,2005,2005,1,January,Number,473
ROA17C3,All Fatal and Injury Collisions,2005,2005,2,February,Number,461
ROA17C3,All Fatal and Injury Collisions,2005,2005,3,March,Number,498
ROA17C3,All Fatal and Injury Collisions,2005,2005,4,April,Number,529
ROA17C3,All Fatal and Injury Collisions,2005,2005,5,May,Number,561
ROA17C3,All Fatal and Injury Collisions,2005,2005,6,June,Number,524
ROA17C3,All Fatal and Injury Collisions,2005,2005,7,July,Number,572
ROA17C3,All Fatal and Injury Collisions,2005,2005,8,August,Number,558
ROA17C3,All Fatal and Injury Collisions,2005,2005,9,September,Number,568
ROA17C3,All Fatal and Injury Collisions,2005,2005,10,October,Number,604
ROA17C3,All Fatal and Injury Collisions,2005,2005,11,November,Number,603
ROA17C3,All Fatal and Injury Collisions,2005,2005,12,December,Number,582
ROA17C3,All Fatal and Injury Collisions,2006,2006,-,All months,Number,6018
ROA17C3,All Fatal and Injury Collisions,2006,2006,1,January,Number,522
ROA17C3,All Fatal and Injury Collisions,2006,2006,2,February,Number,406
ROA17C3,All Fatal and Injury Collisions,2006,2006,3,March,Number,467
ROA17C3,All Fatal and Injury Collisions,2006,2006,4,April,Number,402
ROA17C3,All Fatal and Injury Collisions,2006,2006,5,May,Number,487
ROA17C3,All Fatal and Injury Collisions,2006,2006,6,June,Number,471
ROA17C3,All Fatal and Injury Collisions,2006,2006,7,July,Number,512
ROA17C3,All Fatal and Injury Collisions,2006,2006,8,August,Number,523
ROA17C3,All Fatal and Injury Collisions,2006,2006,9,September,Number,518
ROA17C3,All Fatal and Injury Collisions,2006,2006,10,October,Number,562
ROA17C3,All Fatal and Injury Collisions,2006,2006,11,November,Number,538
ROA17C3,All Fatal and Injury Collisions,2006,2006,12,December,Number,610
ROA17C3,All Fatal and Injury Collisions,2007,2007,-,All months,Number,5467
ROA17C3,All Fatal and Injury Collisions,2007,2007,1,January,Number,459
ROA17C3,All Fatal and Injury Collisions,2007,2007,2,February,Number,421
ROA17C3,All Fatal and Injury Collisions,2007,2007,3,March,Number,470
ROA17C3,All Fatal and Injury Collisions,2007,2007,4,April,Number,386
ROA17C3,All Fatal and Injury Collisions,2007,2007,5,May,Number,442
ROA17C3,All Fatal and Injury Collisions,2007,2007,6,June,Number,448
ROA17C3,All Fatal and Injury Collisions,2007,2007,7,July,Number,501
ROA17C3,All Fatal and Injury Collisions,2007,2007,8,August,Number,486
ROA17C3,All Fatal and Injury Collisions,2007,2007,9,September,Number,456
ROA17C3,All Fatal and Injury Collisions,2007,2007,10,October,Number,475
ROA17C3,All Fatal and Injury Collisions,2007,2007,11,November,Number,469
ROA17C3,All Fatal and Injury Collisions,2007,2007,12,December,Number,454
ROA17C3,All Fatal and Injury Collisions,2008,2008,-,All months,Number,6736
ROA17C3,All Fatal and Injury Collisions,2008,2008,1,January,Number,569
ROA17C3,All Fatal and Injury Collisions,2008,2008,2,February,Number,590
ROA17C3,All Fatal and Injury Collisions,2008,2008,3,March,Number,553
ROA17C3,All Fatal and Injury Collisions,2008,2008,4,April,Number,537
ROA17C3,All Fatal and Injury Collisions,2008,2008,5,May,Number,590
ROA17C3,All Fatal and Injury Collisions,2008,2008,6,June,Number,531
ROA17C3,All Fatal and Injury Collisions,2008,2008,7,July,Number,525
ROA17C3,All Fatal and Injury Collisions,2008,2008,8,August,Number,508
ROA17C3,All Fatal and Injury Collisions,2008,2008,9,September,Number,561
ROA17C3,All Fatal and Injury Collisions,2008,2008,10,October,Number,579
ROA17C3,All Fatal and Injury Collisions,2008,2008,11,November,Number,605
ROA17C3,All Fatal and Injury Collisions,2008,2008,12,December,Number,588
ROA17C3,All Fatal and Injury Collisions,2009,2009,-,All months,Number,6615
ROA17C3,All Fatal and Injury Collisions,2009,2009,1,January,Number,565
ROA17C3,All Fatal and Injury Collisions,2009,2009,2,February,Number,433
ROA17C3,All Fatal and Injury Collisions,2009,2009,3,March,Number,493
ROA17C3,All Fatal and Injury Collisions,2009,2009,4,April,Number,536
ROA17C3,All Fatal and Injury Collisions,2009,2009,5,May,Number,583
ROA17C3,All Fatal and Injury Collisions,2009,2009,6,June,Number,534
ROA17C3,All Fatal and Injury Collisions,2009,2009,7,July,Number,628
ROA17C3,All Fatal and Injury Collisions,2009,2009,8,August,Number,591
ROA17C3,All Fatal and Injury Collisions,2009,2009,9,September,Number,534
ROA17C3,All Fatal and Injury Collisions,2009,2009,10,October,Number,582
ROA17C3,All Fatal and Injury Collisions,2009,2009,11,November,Number,582
ROA17C3,All Fatal and Injury Collisions,2009,2009,12,December,Number,554
ROA17C3,All Fatal and Injury Collisions,2010,2010,-,All months,Number,5780
ROA17C3,All Fatal and Injury Collisions,2010,2010,1,January,Number,419
ROA17C3,All Fatal and Injury Collisions,2010,2010,2,February,Number,431
ROA17C3,All Fatal and Injury Collisions,2010,2010,3,March,Number,486
ROA17C3,All Fatal and Injury Collisions,2010,2010,4,April,Number,471
ROA17C3,All Fatal and Injury Collisions,2010,2010,5,May,Number,527
ROA17C3,All Fatal and Injury Collisions,2010,2010,6,June,Number,474
ROA17C3,All Fatal and Injury Collisions,2010,2010,7,July,Number,522
ROA17C3,All Fatal and Injury Collisions,2010,2010,8,August,Number,508
ROA17C3,All Fatal and Injury Collisions,2010,2010,9,September,Number,531
ROA17C3,All Fatal and Injury Collisions,2010,2010,10,October,Number,600
ROA17C3,All Fatal and Injury Collisions,2010,2010,11,November,Number,508
ROA17C3,All Fatal and Injury Collisions,2010,2010,12,December,Number,303
ROA17C3,All Fatal and Injury Collisions,2011,2011,-,All months,Number,5230
ROA17C3,All Fatal and Injury Collisions,2011,2011,1,January,Number,427
ROA17C3,All Fatal and Injury Collisions,2011,2011,2,February,Number,405
ROA17C3,All Fatal and Injury Collisions,2011,2011,3,March,Number,421
ROA17C3,All Fatal and Injury Collisions,2011,2011,4,April,Number,381
ROA17C3,All Fatal and Injury Collisions,2011,2011,5,May,Number,368
ROA17C3,All Fatal and Injury Collisions,2011,2011,6,June,Number,465
ROA17C3,All Fatal and Injury Collisions,2011,2011,7,July,Number,461
ROA17C3,All Fatal and Injury Collisions,2011,2011,8,August,Number,482
ROA17C3,All Fatal and Injury Collisions,2011,2011,9,September,Number,456
ROA17C3,All Fatal and Injury Collisions,2011,2011,10,October,Number,482
ROA17C3,All Fatal and Injury Collisions,2011,2011,11,November,Number,473
ROA17C3,All Fatal and Injury Collisions,2011,2011,12,December,Number,409
ROA17C3,All Fatal and Injury Collisions,2012,2012,-,All months,Number,5610
ROA17C3,All Fatal and Injury Collisions,2012,2012,1,January,Number,457
ROA17C3,All Fatal and Injury Collisions,2012,2012,2,February,Number,409
ROA17C3,All Fatal and Injury Collisions,2012,2012,3,March,Number,489
ROA17C3,All Fatal and Injury Collisions,2012,2012,4,April,Number,471
ROA17C3,All Fatal and Injury Collisions,2012,2012,5,May,Number,454
ROA17C3,All Fatal and Injury Collisions,2012,2012,6,June,Number,470
ROA17C3,All Fatal and Injury Collisions,2012,2012,7,July,Number,475
ROA17C3,All Fatal and Injury Collisions,2012,2012,8,August,Number,472
ROA17C3,All Fatal and Injury Collisions,2012,2012,9,September,Number,479
ROA17C3,All Fatal and Injury Collisions,2012,2012,10,October,Number,500
ROA17C3,All Fatal and Injury Collisions,2012,2012,11,November,Number,476
ROA17C3,All Fatal and Injury Collisions,2012,2012,12,December,Number,458
ROA17C3,All Fatal and Injury Collisions,2013,2013,-,All months,Number,4976
ROA17C3,All Fatal and Injury Collisions,2013,2013,1,January,Number,445
ROA17C3,All Fatal and Injury Collisions,2013,2013,2,February,Number,354
ROA17C3,All Fatal and Injury Collisions,2013,2013,3,March,Number,363
ROA17C3,All Fatal and Injury Collisions,2013,2013,4,April,Number,340
ROA17C3,All Fatal and Injury Collisions,2013,2013,5,May,Number,391
ROA17C3,All Fatal and Injury Collisions,2013,2013,6,June,Number,421
ROA17C3,All Fatal and Injury Collisions,2013,2013,7,July,Number,464
ROA17C3,All Fatal and Injury Collisions,2013,2013,8,August,Number,415
ROA17C3,All Fatal and Injury Collisions,2013,2013,9,September,Number,435
ROA17C3,All Fatal and Injury Collisions,2013,2013,10,October,Number,468
ROA17C3,All Fatal and Injury Collisions,2013,2013,11,November,Number,435
ROA17C3,All Fatal and Injury Collisions,2013,2013,12,December,Number,445
ROA17C3,All Fatal and Injury Collisions,2014,2014,-,All months,Number,5796
ROA17C3,All Fatal and Injury Collisions,2014,2014,1,January,Number,445
ROA17C3,All Fatal and Injury Collisions,2014,2014,2,February,Number,410
ROA17C3,All Fatal and Injury Collisions,2014,2014,3,March,Number,421
ROA17C3,All Fatal and Injury Collisions,2014,2014,4,April,Number,456
ROA17C3,All Fatal and Injury Collisions,2014,2014,5,May,Number,470
ROA17C3,All Fatal and Injury Collisions,2014,2014,6,June,Number,480
ROA17C3,All Fatal and Injury Collisions,2014,2014,7,July,Number,486
ROA17C3,All Fatal and Injury Collisions,2014,2014,8,August,Number,494
ROA17C3,All Fatal and Injury Collisions,2014,2014,9,September,Number,507
ROA17C3,All Fatal and Injury Collisions,2014,2014,10,October,Number,519
ROA17C3,All Fatal and Injury Collisions,2014,2014,11,November,Number,587
ROA17C3,All Fatal and Injury Collisions,2014,2014,12,December,Number,521
ROA17C3,All Fatal and Injury Collisions,2015,2015,-,All months,Number,5831
ROA17C3,All Fatal and Injury Collisions,2015,2015,1,January,Number,487
ROA17C3,All Fatal and Injury Collisions,2015,2015,2,February,Number,430
ROA17C3,All Fatal and Injury Collisions,2015,2015,3,March,Number,471
ROA17C3,All Fatal and Injury Collisions,2015,2015,4,April,Number,403
ROA17C3,All Fatal and Injury Collisions,2015,2015,5,May,Number,500
ROA17C3,All Fatal and Injury Collisions,2015,2015,6,June,Number,478
ROA17C3,All Fatal and Injury Collisions,2015,2015,7,July,Number,488
ROA17C3,All Fatal and Injury Collisions,2015,2015,8,August,Number,484
ROA17C3,All Fatal and Injury Collisions,2015,2015,9,September,Number,518
ROA17C3,All Fatal and Injury Collisions,2015,2015,10,October,Number,510
ROA17C3,All Fatal and Injury Collisions,2015,2015,11,November,Number,515
ROA17C3,All Fatal and Injury Collisions,2015,2015,12,December,Number,547
ROA17C3,All Fatal and Injury Collisions,2016,2016,-,All months,Number,5891
ROA17C3,All Fatal and Injury Collisions,2016,2016,1,January,Number,530
ROA17C3,All Fatal and Injury Collisions,2016,2016,2,February,Number,466
ROA17C3,All Fatal and Injury Collisions,2016,2016,3,March,Number,431
ROA17C3,All Fatal and Injury Collisions,2016,2016,4,April,Number,410
ROA17C3,All Fatal and Injury Collisions,2016,2016,5,May,Number,480
ROA17C3,All Fatal and Injury Collisions,2016,2016,6,June,Number,487
ROA17C3,All Fatal and Injury Collisions,2016,2016,7,July,Number,540
ROA17C3,All Fatal and Injury Collisions,2016,2016,8,August,Number,472
ROA17C3,All Fatal and Injury Collisions,2016,2016,9,September,Number,544
ROA17C3,All Fatal and Injury Collisions,2016,2016,10,October,Number,503
ROA17C3,All Fatal and Injury Collisions,2016,2016,11,November,Number,502
ROA17C3,All Fatal and Injury Collisions,2016,2016,12,December,Number,526
ROA17C3,All Fatal and Injury Collisions,2017,2017,-,All months,Number,6054
ROA17C3,All Fatal and Injury Collisions,2017,2017,1,January,Number,463
ROA17C3,All Fatal and Injury Collisions,2017,2017,2,February,Number,419
ROA17C3,All Fatal and Injury Collisions,2017,2017,3,March,Number,529
ROA17C3,All Fatal and Injury Collisions,2017,2017,4,April,Number,393
ROA17C3,All Fatal and Injury Collisions,2017,2017,5,May,Number,530
ROA17C3,All Fatal and Injury Collisions,2017,2017,6,June,Number,496
ROA17C3,All Fatal and Injury Collisions,2017,2017,7,July,Number,496
ROA17C3,All Fatal and Injury Collisions,2017,2017,8,August,Number,485
ROA17C3,All Fatal and Injury Collisions,2017,2017,9,September,Number,556
ROA17C3,All Fatal and Injury Collisions,2017,2017,10,October,Number,519
ROA17C3,All Fatal and Injury Collisions,2017,2017,11,November,Number,610
ROA17C3,All Fatal and Injury Collisions,2017,2017,12,December,Number,558
ROA17C3,All Fatal and Injury Collisions,2018,2018,-,All months,Number,6106
ROA17C3,All Fatal and Injury Collisions,2018,2018,1,January,Number,472
ROA17C3,All Fatal and Injury Collisions,2018,2018,2,February,Number,446
ROA17C3,All Fatal and Injury Collisions,2018,2018,3,March,Number,441
ROA17C3,All Fatal and Injury Collisions,2018,2018,4,April,Number,461
ROA17C3,All Fatal and Injury Collisions,2018,2018,5,May,Number,537
ROA17C3,All Fatal and Injury Collisions,2018,2018,6,June,Number,536
ROA17C3,All Fatal and Injury Collisions,2018,2018,7,July,Number,548
ROA17C3,All Fatal and Injury Collisions,2018,2018,8,August,Number,485
ROA17C3,All Fatal and Injury Collisions,2018,2018,9,September,Number,518
ROA17C3,All Fatal and Injury Collisions,2018,2018,10,October,Number,553
ROA17C3,All Fatal and Injury Collisions,2018,2018,11,November,Number,560
ROA17C3,All Fatal and Injury Collisions,2018,2018,12,December,Number,549
ROA17C3,All Fatal and Injury Collisions,2019,2019,-,All months,Number,5827
ROA17C3,All Fatal and Injury Collisions,2019,2019,1,January,Number,503
ROA17C3,All Fatal and Injury Collisions,2019,2019,2,February,Number,399
ROA17C3,All Fatal and Injury Collisions,2019,2019,3,March,Number,492
ROA17C3,All Fatal and Injury Collisions,2019,2019,4,April,Number,400
ROA17C3,All Fatal and Injury Collisions,2019,2019,5,May,Number,476
ROA17C3,All Fatal and Injury Collisions,2019,2019,6,June,Number,477
ROA17C3,All Fatal and Injury Collisions,2019,2019,7,July,Number,512
ROA17C3,All Fatal and Injury Collisions,2019,2019,8,August,Number,487
ROA17C3,All Fatal and Injury Collisions,2019,2019,9,September,Number,551
ROA17C3,All Fatal and Injury Collisions,2019,2019,10,October,Number,519
ROA17C3,All Fatal and Injury Collisions,2019,2019,11,November,Number,546
ROA17C3,All Fatal and Injury Collisions,2019,2019,12,December,Number,465
ROA17C3,All Fatal and Injury Collisions,2020,2020,-,All months,Number,4429
ROA17C3,All Fatal and Injury Collisions,2020,2020,1,January,Number,500
ROA17C3,All Fatal and Injury Collisions,2020,2020,2,February,Number,449
ROA17C3,All Fatal and Injury Collisions,2020,2020,3,March,Number,279
ROA17C3,All Fatal and Injury Collisions,2020,2020,4,April,Number,139
ROA17C3,All Fatal and Injury Collisions,2020,2020,5,May,Number,233
ROA17C3,All Fatal and Injury Collisions,2020,2020,6,June,Number,298
ROA17C3,All Fatal and Injury Collisions,2020,2020,7,July,Number,403
ROA17C3,All Fatal and Injury Collisions,2020,2020,8,August,Number,417
ROA17C3,All Fatal and Injury Collisions,2020,2020,9,September,Number,430
ROA17C3,All Fatal and Injury Collisions,2020,2020,10,October,Number,395
ROA17C3,All Fatal and Injury Collisions,2020,2020,11,November,Number,394
ROA17C3,All Fatal and Injury Collisions,2020,2020,12,December,Number,492
ROA17C3,All Fatal and Injury Collisions,2021,2021,-,All months,Number,4913
ROA17C3,All Fatal and Injury Collisions,2021,2021,1,January,Number,226
ROA17C3,All Fatal and Injury Collisions,2021,2021,2,February,Number,244
ROA17C3,All Fatal and Injury Collisions,2021,2021,3,March,Number,302
ROA17C3,All Fatal and Injury Collisions,2021,2021,4,April,Number,361
ROA17C3,All Fatal and Injury Collisions,2021,2021,5,May,Number,414
ROA17C3,All Fatal and Injury Collisions,2021,2021,6,June,Number,452
ROA17C3,All Fatal and Injury Collisions,2021,2021,7,July,Number,489
ROA17C3,All Fatal and Injury Collisions,2021,2021,8,August,Number,442
ROA17C3,All Fatal and Injury Collisions,2021,2021,9,September,Number,518
ROA17C3,All Fatal and Injury Collisions,2021,2021,10,October,Number,516
ROA17C3,All Fatal and Injury Collisions,2021,2021,11,November,Number,450
ROA17C3,All Fatal and Injury Collisions,2021,2021,12,December,Number,499
ROA17C3,All Fatal and Injury Collisions,2022,2022,-,All months,Number,5715
ROA17C3,All Fatal and Injury Collisions,2022,2022,1,January,Number,400
ROA17C3,All Fatal and Injury Collisions,2022,2022,2,February,Number,422
ROA17C3,All Fatal and Injury Collisions,2022,2022,3,March,Number,484
ROA17C3,All Fatal and Injury Collisions,2022,2022,4,April,Number,438
ROA17C3,All Fatal and Injury Collisions,2022,2022,5,May,Number,503
ROA17C3,All Fatal and Injury Collisions,2022,2022,6,June,Number,470
ROA17C3,All Fatal and Injury Collisions,2022,2022,7,July,Number,472
ROA17C3,All Fatal and Injury Collisions,2022,2022,8,August,Number,512
ROA17C3,All Fatal and Injury Collisions,2022,2022,9,September,Number,506
ROA17C3,All Fatal and Injury Collisions,2022,2022,10,October,Number,523
ROA17C3,All Fatal and Injury Collisions,2022,2022,11,November,Number,553
ROA17C3,All Fatal and Injury Collisions,2022,2022,12,December,Number,432
ROA17C3,All Fatal and Injury Collisions,2023,2023,-,All months,Number,5526
ROA17C3,All Fatal and Injury Collisions,2023,2023,1,January,Number,435
ROA17C3,All Fatal and Injury Collisions,2023,2023,2,February,Number,384
ROA17C3,All Fatal and Injury Collisions,2023,2023,3,March,Number,454
ROA17C3,All Fatal and Injury Collisions,2023,2023,4,April,Number,415
ROA17C3,All Fatal and Injury Collisions,2023,2023,5,May,Number,518
ROA17C3,All Fatal and Injury Collisions,2023,2023,6,June,Number,478
ROA17C3,All Fatal and Injury Collisions,2023,2023,7,July,Number,472
ROA17C3,All Fatal and Injury Collisions,2023,2023,8,August,Number,467
ROA17C3,All Fatal and Injury Collisions,2023,2023,9,September,Number,479
ROA17C3,All Fatal and Injury Collisions,2023,2023,10,October,Number,482
ROA17C3,All Fatal and Injury Collisions,2023,2023,11,November,Number,479
ROA17C3,All Fatal and Injury Collisions,2023,2023,12,December,Number,463
ROA17C4,Killed Casualties,2005,2005,-,All months,Number,396
ROA17C4,Killed Casualties,2005,2005,1,January,Number,33
ROA17C4,Killed Casualties,2005,2005,2,February,Number,37
ROA17C4,Killed Casualties,2005,2005,3,March,Number,26
ROA17C4,Killed Casualties,2005,2005,4,April,Number,23
ROA17C4,Killed Casualties,2005,2005,5,May,Number,41
ROA17C4,Killed Casualties,2005,2005,6,June,Number,22
ROA17C4,Killed Casualties,2005,2005,7,July,Number,41
