STATISTIC,Statistic Label,TLIST(A1),Year,C01885V02316,Month of Year,UNIT,VALUE
ROA17C4,Killed Casualties,2005,2005,8,August,Number,24
ROA17C4,Killed Casualties,2005,2005,9,September,Number,31
ROA17C4,Killed Casualties,2005,2005,10,October,Number,44
ROA17C4,Killed Casualties,2005,2005,11,November,Number,34
ROA17C4,Killed Casualties,2005,2005,12,December,Number,40
ROA17C4,Killed Casualties,2006,2006,-,All months,Number,365
ROA17C4,Killed Casualties,2006,2006,1,January,Number,40
ROA17C4,Killed Casualties,2006,2006,2,February,Number,31
ROA17C4,Killed Casualties,2006,2006,3,March,Number,27
ROA17C4,Killed Casualties,2006,2006,4,April,Number,37
ROA17C4,Killed Casualties,2006,2006,5,May,Number,30
ROA17C4,Killed Casualties,2006,2006,6,June,Number,32
ROA17C4,Killed Casualties,2006,2006,7,July,Number,38
ROA17C4,Killed Casualties,2006,2006,8,August,Number,17
ROA17C4,Killed Casualties,2006,2006,9,September,Number,23
ROA17C4,Killed Casualties,2006,2006,10,October,Number,32
ROA17C4,Killed Casualties,2006,2006,11,November,Number,27
ROA17C4,Killed Casualties,2006,2006,12,December,Number,31
ROA17C4,Killed Casualties,2007,2007,-,All months,Number,338
ROA17C4,Killed Casualties,2007,2007,1,January,Number,22
ROA17C4,Killed Casualties,2007,2007,2,February,Number,25
ROA17C4,Killed Casualties,2007,2007,3,March,Number,34
ROA17C4,Killed Casualties,2007,2007,4,April,Number,30
ROA17C4,Killed Casualties,2007,2007,5,May,Number,24
ROA17C4,Killed Casualties,2007,2007,6,June,Number,29
ROA17C4,Killed Casualties,2007,2007,7,July,Number,31
ROA17C4,Killed Casualties,2007,2007,8,August,Number,28
ROA17C4,Killed Casualties,2007,2007,9,September,Number,28
ROA17C4,Killed Casualties,2007,2007,10,October,Number,26
ROA17C4,Killed Casualties,2007,2007,11,November,Number,23
ROA17C4,Killed Casualties,2007,2007,12,December,Number,38
ROA17C4,Killed Casualties,2008,2008,-,All months,Number,279
ROA17C4,Killed Casualties,2008,2008,1,January,Number,25
ROA17C4,Killed Casualties,2008,2008,2,February,Number,32
ROA17C4,Killed Casualties,2008,2008,3,March,Number,20
ROA17C4,Killed Casualties,2008,2008,4,April,Number,19
ROA17C4,Killed Casualties,2008,2008,5,May,Number,19
ROA17C4,Killed Casualties,2008,2008,6,June,Number,28
ROA17C4,Killed Casualties,2008,2008,7,July,Number,26
ROA17C4,Killed Casualties,2008,2008,8,August,Number,28
ROA17C4,Killed Casualties,2008,2008,9,September,Number,19
ROA17C4,Killed Casualties,2008,2008,10,October,Number,22
ROA17C4,Killed Casualties,2008,2008,11,November,Number,22
ROA17C4,Killed Casualties,2008,2008,12,December,Number,19
ROA17C4,Killed Casualties,2009,2009,-,All months,Number,238
ROA17C4,Killed Casualties,2009,2009,1,January,Number,18
ROA17C4,Killed Casualties,2009,2009,2,February,Number,15
ROA17C4,Killed Casualties,2009,2009,3,March,Number,24
ROA17C4,Killed Casualties,2009,2009,4,April,Number,20
ROA17C4,Killed Casualties,2009,2009,5,May,Number,28
ROA17C4,Killed Casualties,2009,2009,6,June,Number,15
ROA17C4,Killed Casualties,2009,2009,7,July,Number,19
ROA17C4,Killed Casualties,2009,2009,8,August,Number,20
ROA17C4,Killed Casualties,2009,2009,9,September,Number,14
ROA17C4,Killed Casualties,2009,2009,10,October,Number,22
ROA17C4,Killed Casualties,2009,2009,11,November,Number,25
ROA17C4,Killed Casualties,2009,2009,12,December,Number,18
ROA17C4,Killed Casualties,2010,2010,-,All months,Number,212
ROA17C4,Killed Casualties,2010,2010,1,January,Number,15
ROA17C4,Killed Casualties,2010,2010,2,February,Number,14
ROA17C4,Killed Casualties,2010,2010,3,March,Number,12
ROA17C4,Killed Casualties,2010,2010,4,April,Number,19
ROA17C4,Killed Casualties,2010,2010,5,May,Number,28
ROA17C4,Killed Casualties,2010,2010,6,June,Number,11
ROA17C4,Killed Casualties,2010,2010,7,July,Number,21
ROA17C4,Killed Casualties,2010,2010,8,August,Number,19
ROA17C4,Killed Casualties,2010,2010,9,September,Number,13
ROA17C4,Killed Casualties,2010,2010,10,October,Number,36
ROA17C4,Killed Casualties,2010,2010,11,November,Number,14
ROA17C4,Killed Casualties,2010,2010,12,December,Number,10
ROA17C4,Killed Casualties,2011,2011,-,All months,Number,186
ROA17C4,Killed Casualties,2011,2011,1,January,Number,21
ROA17C4,Killed Casualties,2011,2011,2,February,Number,18
ROA17C4,Killed Casualties,2011,2011,3,March,Number,15
ROA17C4,Killed Casualties,2011,2011,4,April,Number,8
ROA17C4,Killed Casualties,2011,2011,5,May,Number,11
ROA17C4,Killed Casualties,2011,2011,6,June,Number,15
ROA17C4,Killed Casualties,2011,2011,7,July,Number,18
ROA17C4,Killed Casualties,2011,2011,8,August,Number,16
ROA17C4,Killed Casualties,2011,2011,9,September,Number,13
ROA17C4,Killed Casualties,2011,2011,10,October,Number,15
ROA17C4,Killed Casualties,2011,2011,11,November,Number,18
ROA17C4,Killed Casualties,2011,2011,12,December,Number,18
ROA17C4,Killed Casualties,2012,2012,-,All months,Number,162
ROA17C4,Killed Casualties,2012,2012,1,January,Number,10
ROA17C4,Killed Casualties,2012,2012,2,February,Number,13
ROA17C4,Killed Casualties,2012,2012,3,March,Number,12
ROA17C4,Killed Casualties,2012,2012,4,April,Number,16
ROA17C4,Killed Casualties,2012,2012,5,May,Number,13
ROA17C4,Killed Casualties,2012,2012,6,June,Number,26
ROA17C4,Killed Casualties,2012,2012,7,July,Number,15
ROA17C4,Killed Casualties,2012,2012,8,August,Number,12
ROA17C4,Killed Casualties,2012,2012,9,September,Number,10
ROA17C4,Killed Casualties,2012,2012,10,October,Number,15
ROA17C4,Killed Casualties,2012,2012,11,November,Number,8
ROA17C4,Killed Casualties,2012,2012,12,December,Number,12
ROA17C4,Killed Casualties,2013,2013,-,All months,Number,188
ROA17C4,Killed Casualties,2013,2013,1,January,Number,19
ROA17C4,Killed Casualties,2013,2013,2,February,Number,14
ROA17C4,Killed Casualties,2013,2013,3,March,Number,15
ROA17C4,Killed Casualties,2013,2013,4,April,Number,12
ROA17C4,Killed Casualties,2013,2013,5,May,Number,17
ROA17C4,Killed Casualties,2013,2013,6,June,Number,13
ROA17C4,Killed Casualties,2013,2013,7,July,Number,18
ROA17C4,Killed Casualties,2013,2013,8,August,Number,19
ROA17C4,Killed Casualties,2013,2013,9,September,Number,17
ROA17C4,Killed Casualties,2013,2013,10,October,Number,13
ROA17C4,Killed Casualties,2013,2013,11,November,Number,15
ROA17C4,Killed Casualties,2013,2013,12,December,Number,16
ROA17C4,Killed Casualties,2014,2014,-,All months,Number,192
ROA17C4,Killed Casualties,2014,2014,1,January,Number,16
ROA17C4,Killed Casualties,2014,2014,2,February,Number,13
ROA17C4,Killed Casualties,2014,2014,3,March,Number,15
ROA17C4,Killed Casualties,2014,2014,4,April,Number,14
ROA17C4,Killed Casualties,2014,2014,5,May,Number,18
ROA17C4,Killed Casualties,2014,2014,6,June,Number,18
ROA17C4,Killed Casualties,2014,2014,7,July,Number,18
ROA17C4,Killed Casualties,2014,2014,8,August,Number,15
ROA17C4,Killed Casualties,2014,2014,9,September,Number,11
ROA17C4,Killed Casualties,2014,2014,10,October,Number,17
ROA17C4,Killed Casualties,2014,2014,11,November,Number,20
ROA17C4,Killed Casualties,2014,2014,12,December,Number,17
ROA17C4,Killed Casualties,2015,2015,-,All months,Number,162
ROA17C4,Killed Casualties,2015,2015,1,January,Number,12
ROA17C4,Killed Casualties,2015,2015,2,February,Number,13
ROA17C4,Killed Casualties,2015,2015,3,March,Number,11
ROA17C4,Killed Casualties,2015,2015,4,April,Number,7
ROA17C4,Killed Casualties,2015,2015,5,May,Number,12
ROA17C4,Killed Casualties,2015,2015,6,June,Number,13
ROA17C4,Killed Casualties,2015,2015,7,July,Number,19
ROA17C4,Killed Casualties,2015,2015,8,August,Number,14
ROA17C4,Killed Casualties,2015,2015,9,September,Number,16
ROA17C4,Killed Casualties,2015,2015,10,October,Number,11
ROA17C4,Killed Casualties,2015,2015,11,November,Number,14
ROA17C4,Killed Casualties,2015,2015,12,December,Number,20
ROA17C4,Killed Casualties,2016,2016,-,All months,Number,186
ROA17C4,Killed Casualties,2016,2016,1,January,Number,15
ROA17C4,Killed Casualties,2016,2016,2,February,Number,10
ROA17C4,Killed Casualties,2016,2016,3,March,Number,17
ROA17C4,Killed Casualties,2016,2016,4,April,Number,14
ROA17C4,Killed Casualties,2016,2016,5,May,Number,20
ROA17C4,Killed Casualties,2016,2016,6,June,Number,12
ROA17C4,Killed Casualties,2016,2016,7,July,Number,21
ROA17C4,Killed Casualties,2016,2016,8,August,Number,13
ROA17C4,Killed Casualties,2016,2016,9,September,Number,18
ROA17C4,Killed Casualties,2016,2016,10,October,Number,20
ROA17C4,Killed Casualties,2016,2016,11,November,Number,9
ROA17C4,Killed Casualties,2016,2016,12,December,Number,17
ROA17C4,Killed Casualties,2017,2017,-,All months,Number,156
ROA17C4,Killed Casualties,2017,2017,1,January,Number,16
ROA17C4,Killed Casualties,2017,2017,2,February,Number,11
ROA17C4,Killed Casualties,2017,2017,3,March,Number,20
ROA17C4,Killed Casualties,2017,2017,4,April,Number,7
ROA17C4,Killed Casualties,2017,2017,5,May,Number,8
ROA17C4,Killed Casualties,2017,2017,6,June,Number,14
ROA17C4,Killed Casualties,2017,2017,7,July,Number,16
ROA17C4,Killed Casualties,2017,2017,8,August,Number,10
ROA17C4,Killed Casualties,2017,2017,9,September,Number,13
ROA17C4,Killed Casualties,2017,2017,10,October,Number,11
ROA17C4,Killed Casualties,2017,2017,11,November,Number,14
ROA17C4,Killed Casualties,2017,2017,12,December,Number,16
ROA17C4,Killed Casualties,2018,2018,-,All months,Number,139
ROA17C4,Killed Casualties,2018,2018,1,January,Number,12
ROA17C4,Killed Casualties,2018,2018,2,February,Number,10
ROA17C4,Killed Casualties,2018,2018,3,March,Number,14
ROA17C4,Killed Casualties,2018,2018,4,April,Number,17
ROA17C4,Killed Casualties,2018,2018,5,May,Number,4
ROA17C4,Killed Casualties,2018,2018,6,June,Number,16
ROA17C4,Killed Casualties,2018,2018,7,July,Number,8
ROA17C4,Killed Casualties,2018,2018,8,August,Number,12
ROA17C4,Killed Casualties,2018,2018,9,September,Number,10
ROA17C4,Killed Casualties,2018,2018,10,October,Number,9
ROA17C4,Killed Casualties,2018,2018,11,November,Number,12
ROA17C4,Killed Casualties,2018,2018,12,December,Number,15
ROA17C4,Killed Casualties,2019,2019,-,All months,Number,140
ROA17C4,Killed Casualties,2019,2019,1,January,Number,14
ROA17C4,Killed Casualties,2019,2019,2,February,Number,14
ROA17C4,Killed Casualties,2019,2019,3,March,Number,11
ROA17C4,Killed Casualties,2019,2019,4,April,Number,9
ROA17C4,Killed Casualties,2019,2019,5,May,Number,11
ROA17C4,Killed Casualties,2019,2019,6,June,Number,11
ROA17C4,Killed Casualties,2019,2019,7,July,Number,8
ROA17C4,Killed Casualties,2019,2019,8,August,Number,8
ROA17C4,Killed Casualties,2019,2019,9,September,Number,18
ROA17C4,Killed Casualties,2019,2019,10,October,Number,10
ROA17C4,Killed Casualties,2019,2019,11,November,Number,11
ROA17C4,Killed Casualties,2019,2019,12,December,Number,15
ROA17C4,Killed Casualties,2020,2020,-,All months,Number,147
ROA17C4,Killed Casualties,2020,2020,1,January,Number,9
ROA17C4,Killed Casualties,2020,2020,2,February,Number,19
ROA17C4,Killed Casualties,2020,2020,3,March,Number,18
ROA17C4,Killed Casualties,2020,2020,4,April,Number,7
ROA17C4,Killed Casualties,2020,2020,5,May,Number,6
ROA17C4,Killed Casualties,2020,2020,6,June,Number,12
ROA17C4,Killed Casualties,2020,2020,7,July,Number,10
ROA17C4,Killed Casualties,2020,2020,8,August,Number,16
ROA17C4,Killed Casualties,2020,2020,9,September,Number,18
ROA17C4,Killed Casualties,2020,2020,10,October,Number,13
ROA17C4,Killed Casualties,2020,2020,11,November,Number,11
ROA17C4,Killed Casualties,2020,2020,12,December,Number,8
ROA17C4,Killed Casualties,2021,2021,-,All months,Number,136
ROA17C4,Killed Casualties,2021,2021,1,January,Number,4
ROA17C4,Killed Casualties,2021,2021,2,February,Number,5
ROA17C4,Killed Casualties,2021,2021,3,March,Number,10
ROA17C4,Killed Casualties,2021,2021,4,April,Number,18
ROA17C4,Killed Casualties,2021,2021,5,May,Number,7
ROA17C4,Killed Casualties,2021,2021,6,June,Number,9
ROA17C4,Killed Casualties,2021,2021,7,July,Number,17
ROA17C4,Killed Casualties,2021,2021,8,August,Number,21
ROA17C4,Killed Casualties,2021,2021,9,September,Number,11
ROA17C4,Killed Casualties,2021,2021,10,October,Number,12
ROA17C4,Killed Casualties,2021,2021,11,November,Number,3
ROA17C4,Killed Casualties,2021,2021,12,December,Number,19
ROA17C4,Killed Casualties,2022,2022,-,All months,Number,153
ROA17C4,Killed Casualties,2022,2022,1,January,Number,13
ROA17C4,Killed Casualties,2022,2022,2,February,Number,13
ROA17C4,Killed Casualties,2022,2022,3,March,Number,16
ROA17C4,Killed Casualties,2022,2022,4,April,Number,9
ROA17C4,Killed Casualties,2022,2022,5,May,Number,12
ROA17C4,Killed Casualties,2022,2022,6,June,Number,13
ROA17C4,Killed Casualties,2022,2022,7,July,Number,12
ROA17C4,Killed Casualties,2022,2022,8,August,Number,12
ROA17C4,Killed Casualties,2022,2022,9,September,Number,9
ROA17C4,Killed Casualties,2022,2022,10,October,Number,12
ROA17C4,Killed Casualties,2022,2022,11,November,Number,17
ROA17C4,Killed Casualties,2022,2022,12,December,Number,15
ROA17C4,Killed Casualties,2023,2023,-,All months,Number,179
ROA17C4,Killed Casualties,2023,2023,1,January,Number,16
ROA17C4,Killed Casualties,2023,2023,2,February,Number,13
ROA17C4,Killed Casualties,2023,2023,3,March,Number,11
ROA17C4,Killed Casualties,2023,2023,4,April,Number,10
ROA17C4,Killed Casualties,2023,2023,5,May,Number,20
ROA17C4,Killed Casualties,2023,2023,6,June,Number,10
ROA17C4,Killed Casualties,2023,2023,7,July,Number,16
ROA17C4,Killed Casualties,2023,2023,8,August,Number,26
ROA17C4,Killed Casualties,2023,2023,9,September,Number,9
ROA17C4,Killed Casualties,2023,2023,10,October,Number,22
ROA17C4,Killed Casualties,2023,2023,11,November,Number,13
ROA17C4,Killed Casualties,2023,2023,12,December,Number,13
ROA17C5,Injured Casualties,2005,2005,-,All months,Number,9318
ROA17C5,Injured Casualties,2005,2005,1,January,Number,683
ROA17C5,Injured Casualties,2005,2005,2,February,Number,591
ROA17C5,Injured Casualties,2005,2005,3,March,Number,718
ROA17C5,Injured Casualties,2005,2005,4,April,Number,726
ROA17C5,Injured Casualties,2005,2005,5,May,Number,800
ROA17C5,Injured Casualties,2005,2005,6,June,Number,752
ROA17C5,Injured Casualties,2005,2005,7,July,Number,886
ROA17C5,Injured Casualties,2005,2005,8,August,Number,876
ROA17C5,Injured Casualties,2005,2005,9,September,Number,826
ROA17C5,Injured Casualties,2005,2005,10,October,Number,892
ROA17C5,Injured Casualties,2005,2005,11,November,Number,826
ROA17C5,Injured Casualties,2005,2005,12,December,Number,742
ROA17C5,Injured Casualties,2006,2006,-,All months,Number,8575
ROA17C5,Injured Casualties,2006,2006,1,January,Number,723
ROA17C5,Injured Casualties,2006,2006,2,February,Number,547
ROA17C5,Injured Casualties,2006,2006,3,March,Number,633
ROA17C5,Injured Casualties,2006,2006,4,April,Number,602
ROA17C5,Injured Casualties,2006,2006,5,May,Number,709
ROA17C5,Injured Casualties,2006,2006,6,June,Number,674
ROA17C5,Injured Casualties,2006,2006,7,July,Number,762
ROA17C5,Injured Casualties,2006,2006,8,August,Number,767
ROA17C5,Injured Casualties,2006,2006,9,September,Number,746
ROA17C5,Injured Casualties,2006,2006,10,October,Number,797
ROA17C5,Injured Casualties,2006,2006,11,November,Number,750
ROA17C5,Injured Casualties,2006,2006,12,December,Number,865
ROA17C5,Injured Casualties,2007,2007,-,All months,Number,7806
ROA17C5,Injured Casualties,2007,2007,1,January,Number,639
ROA17C5,Injured Casualties,2007,2007,2,February,Number,564
ROA17C5,Injured Casualties,2007,2007,3,March,Number,666
ROA17C5,Injured Casualties,2007,2007,4,April,Number,565
ROA17C5,Injured Casualties,2007,2007,5,May,Number,625
ROA17C5,Injured Casualties,2007,2007,6,June,Number,693
ROA17C5,Injured Casualties,2007,2007,7,July,Number,721
ROA17C5,Injured Casualties,2007,2007,8,August,Number,741
ROA17C5,Injured Casualties,2007,2007,9,September,Number,657
ROA17C5,Injured Casualties,2007,2007,10,October,Number,654
ROA17C5,Injured Casualties,2007,2007,11,November,Number,661
ROA17C5,Injured Casualties,2007,2007,12,December,Number,620
ROA17C5,Injured Casualties,2008,2008,-,All months,Number,9758
ROA17C5,Injured Casualties,2008,2008,1,January,Number,818
ROA17C5,Injured Casualties,2008,2008,2,February,Number,845
ROA17C5,Injured Casualties,2008,2008,3,March,Number,808
ROA17C5,Injured Casualties,2008,2008,4,April,Number,783
ROA17C5,Injured Casualties,2008,2008,5,May,Number,919
ROA17C5,Injured Casualties,2008,2008,6,June,Number,794
ROA17C5,Injured Casualties,2008,2008,7,July,Number,770
ROA17C5,Injured Casualties,2008,2008,8,August,Number,757
ROA17C5,Injured Casualties,2008,2008,9,September,Number,778
ROA17C5,Injured Casualties,2008,2008,10,October,Number,815
ROA17C5,Injured Casualties,2008,2008,11,November,Number,833
ROA17C5,Injured Casualties,2008,2008,12,December,Number,838
ROA17C5,Injured Casualties,2009,2009,-,All months,Number,9742
ROA17C5,Injured Casualties,2009,2009,1,January,Number,812
ROA17C5,Injured Casualties,2009,2009,2,February,Number,588
ROA17C5,Injured Casualties,2009,2009,3,March,Number,755
ROA17C5,Injured Casualties,2009,2009,4,April,Number,809
ROA17C5,Injured Casualties,2009,2009,5,May,Number,827
ROA17C5,Injured Casualties,2009,2009,6,June,Number,763
ROA17C5,Injured Casualties,2009,2009,7,July,Number,976
ROA17C5,Injured Casualties,2009,2009,8,August,Number,879
ROA17C5,Injured Casualties,2009,2009,9,September,Number,812
ROA17C5,Injured Casualties,2009,2009,10,October,Number,856
ROA17C5,Injured Casualties,2009,2009,11,November,Number,878
ROA17C5,Injured Casualties,2009,2009,12,December,Number,787
ROA17C5,Injured Casualties,2010,2010,-,All months,Number,8270
ROA17C5,Injured Casualties,2010,2010,1,January,Number,571
ROA17C5,Injured Casualties,2010,2010,2,February,Number,622
ROA17C5,Injured Casualties,2010,2010,3,March,Number,686
ROA17C5,Injured Casualties,2010,2010,4,April,Number,687
ROA17C5,Injured Casualties,2010,2010,5,May,Number,755
ROA17C5,Injured Casualties,2010,2010,6,June,Number,669
ROA17C5,Injured Casualties,2010,2010,7,July,Number,755
ROA17C5,Injured Casualties,2010,2010,8,August,Number,747
ROA17C5,Injured Casualties,2010,2010,9,September,Number,801
ROA17C5,Injured Casualties,2010,2010,10,October,Number,853
ROA17C5,Injured Casualties,2010,2010,11,November,Number,717
ROA17C5,Injured Casualties,2010,2010,12,December,Number,407
ROA17C5,Injured Casualties,2011,2011,-,All months,Number,7235
ROA17C5,Injured Casualties,2011,2011,1,January,Number,548
ROA17C5,Injured Casualties,2011,2011,2,February,Number,540
ROA17C5,Injured Casualties,2011,2011,3,March,Number,563
ROA17C5,Injured Casualties,2011,2011,4,April,Number,547
ROA17C5,Injured Casualties,2011,2011,5,May,Number,527
ROA17C5,Injured Casualties,2011,2011,6,June,Number,646
ROA17C5,Injured Casualties,2011,2011,7,July,Number,686
ROA17C5,Injured Casualties,2011,2011,8,August,Number,684
ROA17C5,Injured Casualties,2011,2011,9,September,Number,639
ROA17C5,Injured Casualties,2011,2011,10,October,Number,659
ROA17C5,Injured Casualties,2011,2011,11,November,Number,655
ROA17C5,Injured Casualties,2011,2011,12,December,Number,541
ROA17C5,Injured Casualties,2012,2012,-,All months,Number,7942
ROA17C5,Injured Casualties,2012,2012,1,January,Number,642
ROA17C5,Injured Casualties,2012,2012,2,February,Number,596
ROA17C5,Injured Casualties,2012,2012,3,March,Number,707
ROA17C5,Injured Casualties,2012,2012,4,April,Number,694
ROA17C5,Injured Casualties,2012,2012,5,May,Number,630
ROA17C5,Injured Casualties,2012,2012,6,June,Number,682
ROA17C5,Injured Casualties,2012,2012,7,July,Number,679
ROA17C5,Injured Casualties,2012,2012,8,August,Number,670
ROA17C5,Injured Casualties,2012,2012,9,September,Number,639
ROA17C5,Injured Casualties,2012,2012,10,October,Number,718
ROA17C5,Injured Casualties,2012,2012,11,November,Number,670
ROA17C5,Injured Casualties,2012,2012,12,December,Number,615
ROA17C5,Injured Casualties,2013,2013,-,All months,Number,6880
ROA17C5,Injured Casualties,2013,2013,1,January,Number,623
ROA17C5,Injured Casualties,2013,2013,2,February,Number,491
ROA17C5,Injured Casualties,2013,2013,3,March,Number,523
ROA17C5,Injured Casualties,2013,2013,4,April,Number,452
ROA17C5,Injured Casualties,2013,2013,5,May,Number,533
ROA17C5,Injured Casualties,2013,2013,6,June,Number,587
ROA17C5,Injured Casualties,2013,2013,7,July,Number,677
ROA17C5,Injured Casualties,2013,2013,8,August,Number,600
ROA17C5,Injured Casualties,2013,2013,9,September,Number,601
ROA17C5,Injured Casualties,2013,2013,10,October,Number,635
ROA17C5,Injured Casualties,2013,2013,11,November,Number,560
ROA17C5,Injured Casualties,2013,2013,12,December,Number,598
ROA17C5,Injured Casualties,2014,2014,-,All months,Number,8079
ROA17C5,Injured Casualties,2014,2014,1,January,Number,636
ROA17C5,Injured Casualties,2014,2014,2,February,Number,577
ROA17C5,Injured Casualties,2014,2014,3,March,Number,575
ROA17C5,Injured Casualties,2014,2014,4,April,Number,642
ROA17C5,Injured Casualties,2014,2014,5,May,Number,653
ROA17C5,Injured Casualties,2014,2014,6,June,Number,680
ROA17C5,Injured Casualties,2014,2014,7,July,Number,685
ROA17C5,Injured Casualties,2014,2014,8,August,Number,741
ROA17C5,Injured Casualties,2014,2014,9,September,Number,681
ROA17C5,Injured Casualties,2014,2014,10,October,Number,726
ROA17C5,Injured Casualties,2014,2014,11,November,Number,791
ROA17C5,Injured Casualties,2014,2014,12,December,Number,692
ROA17C5,Injured Casualties,2015,2015,-,All months,Number,7840
ROA17C5,Injured Casualties,2015,2015,1,January,Number,678
ROA17C5,Injured Casualties,2015,2015,2,February,Number,556
ROA17C5,Injured Casualties,2015,2015,3,March,Number,643
ROA17C5,Injured Casualties,2015,2015,4,April,Number,535
ROA17C5,Injured Casualties,2015,2015,5,May,Number,690
ROA17C5,Injured Casualties,2015,2015,6,June,Number,646
ROA17C5,Injured Casualties,2015,2015,7,July,Number,667
ROA17C5,Injured Casualties,2015,2015,8,August,Number,676
ROA17C5,Injured Casualties,2015,2015,9,September,Number,689
ROA17C5,Injured Casualties,2015,2015,10,October,Number,665
ROA17C5,Injured Casualties,2015,2015,11,November,Number,668
ROA17C5,Injured Casualties,2015,2015,12,December,Number,727
ROA17C5,Injured Casualties,2016,2016,-,All months,Number,7710
ROA17C5,Injured Casualties,2016,2016,1,January,Number,696
ROA17C5,Injured Casualties,2016,2016,2,February,Number,610
ROA17C5,Injured Casualties,2016,2016,3,March,Number,597
ROA17C5,Injured Casualties,2016,2016,4,April,Number,530
ROA17C5,Injured Casualties,2016,2016,5,May,Number,622
ROA17C5,Injured Casualties,2016,2016,6,June,Number,642
ROA17C5,Injured Casualties,2016,2016,7,July,Number,722
ROA17C5,Injured Casualties,2016,2016,8,August,Number,626
ROA17C5,Injured Casualties,2016,2016,9,September,Number,720
ROA17C5,Injured Casualties,2016,2016,10,October,Number,618
ROA17C5,Injured Casualties,2016,2016,11,November,Number,650
ROA17C5,Injured Casualties,2016,2016,12,December,Number,677
ROA17C5,Injured Casualties,2017,2017,-,All months,Number,7778
ROA17C5,Injured Casualties,2017,2017,1,January,Number,576
ROA17C5,Injured Casualties,2017,2017,2,February,Number,522
ROA17C5,Injured Casualties,2017,2017,3,March,Number,672
ROA17C5,Injured Casualties,2017,2017,4,April,Number,536
ROA17C5,Injured Casualties,2017,2017,5,May,Number,704
ROA17C5,Injured Casualties,2017,2017,6,June,Number,623
